<pre>DateTime,Latitude,Longitude,Depth,Magnitude,MagType,NbStations,Gap,Distance,RMS,Source,EventID
04:02.8,36.13233,-120.212,12.498,2.35,Md,6,210,12,0.02,NCSN,1093585
07:29.2,36.23433,-120.25883,4.236,1.52,Md,12,117,3,0.12,NCSN,1093586
15:30.0,36.18367,-120.29533,11.252,1.9,Md,13,105,4,0.07,NCSN,1093587
31:43.4,36.26217,-120.31567,8.836,1.4,Md,15,68,3,0.22,NCSN,1093588
58:46.2,36.2795,-120.31433,5.361,2.09,Md,14,123,2,0.09,NCSN,1093590
03:10.6,36.209,-120.33334,9.008,1.93,Md,18,67,5,0.1,NCSN,1093591
15:17.9,36.2235,-120.28733,7.378,1.81,Md,19,67,1,0.13,NCSN,1093593
17:39.2,36.192,-120.246,9.266,2.85,Md,40,66,3,0.11,NCSN,1093594
22:46.4,36.2005,-120.387,3.016,1.51,Md,15,97,7,0.33,NCSN,1093595
37:21.1,36.21617,-120.3565,11.101,3.28,Md,69,30,3,0.09,NCSN,1093597
50:36.8,36.1995,-120.2555,8.696,2.84,Md,39,68,3,0.15,NCSN,1093598
57:46.6,36.14734,-120.2575,7.474,2.24,Md,16,97,4,0.07,NCSN,1093599
14:10.2,36.20583,-120.29967,9.548,2.13,Md,29,88,2,0.1,NCSN,1093600
15:15.2,36.20233,-120.29684,9.281,2.93,Md,40,55,2,0.1,NCSN,1093601
30:07.7,36.20967,-120.333,9.704,1.28,Md,11,88,4,0.07,NCSN,1093602
30:59.3,36.205,-120.25233,8.676,2.08,Md,25,98,3,0.12,NCSN,1093603
52:03.2,36.28133,-120.30233,4.643,0.99,Md,6,140,1,0.28,NCSN,1093604
56:58.9,36.29817,-120.42983,7.798,1.36,Md,7,126,10,0.04,NCSN,1093605
59:34.3,36.21733,-120.33417,8.853,0.8,Md,9,103,4,0.06,NCSN,1093606
06:32.9,36.21183,-120.27267,5.436,1.9,Md,19,92,1,0.17,NCSN,1093607
15:04.1,36.17867,-120.28817,9.724,2.12,Md,23,63,3,0.12,NCSN,1093608
30:07.7,36.18333,-120.276,10.929,1.23,Md,13,112,4,0.12,NCSN,1093609
38:18.4,36.162,-120.23016,11.389,0.88,Md,10,112,6,0.04,NCSN,1093610
40:52.4,36.1735,-120.28933,10.065,1.46,Md,11,112,3,0.06,NCSN,1093611
56:31.8,36.2625,-120.3625,9.629,1.31,Md,12,78,2,0.04,NCSN,1093614
07:36.5,36.2345,-120.33417,9.533,1.83,Md,14,65,5,0.06,NCSN,1093615
19:01.1,36.32017,-120.33067,2.686,1.84,Md,12,108,4,0.04,NCSN,1093616
33:15.0,36.21433,-120.20567,8.821,1.81,Md,8,152,3,0.11,NCSN,1093617
54:16.6,36.186,-120.2865,10.266,1.5,Md,13,107,4,0.11,NCSN,1093621
55:20.8,36.27234,-120.34133,7.544,1.49,Md,5,99,4,0.02,NCSN,1093622
14:50.2,36.2035,-120.26017,8.601,1.33,Md,11,102,3,0.14,NCSN,1093627
21:34.7,36.21233,-120.315,10.686,1.64,Md,12,71,3,0.07,NCSN,1093628
37:19.4,36.28933,-120.416,8.159,1.81,Md,14,93,5,0.11,NCSN,1093629
42:41.6,36.21517,-120.29217,12.837,2.15,Md,19,84,1,0.12,NCSN,1093630
44:27.1,36.20217,-120.278,9.477,1.82,Md,11,109,2,0.07,NCSN,1093631
49:33.1,36.21,-120.20717,8.111,2.01,Md,9,150,7,0.03,NCSN,1093632
59:02.7,36.26933,-120.29,5.966,2.16,Md,21,69,3,0.12,NCSN,1093633
02:39.8,36.2655,-120.293,5.986,1.97,Md,17,76,3,0.17,NCSN,1093634
22:49.1,36.10067,-120.22417,8.225,1.66,Md,9,123,13,0.05,NCSN,1093635
23:32.9,36.1885,-120.33683,7.389,3.48,Md,66,32,3,0.12,NCSN,1093636
26:52.5,36.18983,-120.33417,7.928,1.81,Md,19,42,5,0.06,NCSN,1093637
37:21.7,36.23767,-120.29716,6.084,1.6,Md,11,120,2,0.1,NCSN,1093638
42:13.1,36.233,-120.3015,6.894,3.44,Md,23,70,2,0.19,NCSN,1093639
42:31.1,36.19533,-120.3495,7.065,3.27,Md,19,60,4,0.18,NCSN,1093640
45:52.5,36.26367,-120.27883,3.596,1.47,Md,16,80,4,0.13,NCSN,1093641
48:12.5,36.1915,-120.33417,7.658,1.34,Md,12,64,5,0.06,NCSN,1093642
51:51.2,36.24967,-120.3295,7.793,1.06,Md,4,201,5,0.01,NCSN,1093643
55:11.8,36.198,-120.3395,6.858,1.81,Md,13,61,5,0.07,NCSN,1093644
56:36.7,36.24617,-120.299,11.483,1.37,Md,14,96,4,0.12,NCSN,1093645
59:25.2,36.18383,-120.20634,8.699,0.99,Md,5,122,4,0.01,NCSN,1093646
08:53.6,36.19767,-120.33733,7.159,2.02,Md,13,97,5,0.07,NCSN,1093647
12:51.0,36.27483,-120.34467,7.06,0.8,Md,6,97,4,0.02,NCSN,1093648
14:32.9,36.184,-120.27917,10.6,1.27,Md,9,111,4,0.15,NCSN,1093649
19:10.1,36.20067,-120.33817,7.764,2.81,Md,22,71,5,0.06,NCSN,1093650
29:13.0,36.197,-120.33417,7.766,2.91,Md,15,54,5,0.06,NCSN,1093652
33:28.3,36.25617,-120.34834,8.72,1.43,Md,13,67,1,0.03,NCSN,1093654
48:26.6,36.26683,-120.30666,6.616,2.16,Md,19,101,3,0.17,NCSN,1093657
56:13.5,36.1555,-120.32267,15.227,1.84,Md,16,70,2,0.06,NCSN,1093658
57:44.0,36.1455,-120.3395,12.492,1.95,Md,9,125,10,0.03,NCSN,1093659
15:31.4,36.20083,-120.35683,12.368,1.23,Md,7,173,6,0.03,NCSN,1093660
17:00.0,36.255,-120.35,8.538,1.61,Md,15,64,1,0.11,NCSN,1093661
39:22.3,36.15067,-120.32267,14.322,1.99,Md,17,72,2,0.08,NCSN,1093662
48:06.7,36.19067,-120.33583,7.437,1.18,Md,11,63,5,0.05,NCSN,1093663
21:34.4,36.242,-120.33817,9.46,2.39,Md,30,62,1,0.08,NCSN,1093665
32:54.0,36.1845,-120.30067,10.173,1.88,Md,19,101,4,0.2,NCSN,1093667
34:17.8,36.0875,-120.21467,8.115,2.04,Md,11,105,13,0.06,NCSN,1093668
46:20.6,36.25867,-120.287,3.42,2.77,Md,32,75,4,0.24,NCSN,1093670
57:30.7,36.16667,-120.26234,11.762,2.25,Md,22,118,4,0.12,NCSN,1093672
05:21.1,36.15317,-120.32516,14.757,2.09,Md,20,71,2,0.07,NCSN,1093673
18:24.2,36.28967,-120.47417,10.959,3.84,Md,67,41,9,0.11,NCSN,1093674
24:19.2,36.284,-120.46467,10.153,1.17,Md,11,98,8,0.07,NCSN,1093675
29:50.2,36.28183,-120.47217,9.798,1.86,Md,24,111,9,0.16,NCSN,1093676
57:11.3,36.18783,-120.4465,-0.488,1.49,Md,5,221,10,0.24,NCSN,1093677
58:09.6,36.138,-120.215,10.165,1.97,Md,14,140,9,0.07,NCSN,1093678
00:00.1,36.33767,-120.35683,2.579,2.34,Md,26,147,7,0.12,NCSN,1093679
05:35.8,36.26817,-120.38167,10.089,1.6,Md,9,85,2,0.04,NCSN,1093680
07:57.3,36.15067,-120.22066,7.23,1.18,Md,10,135,16,0.14,NCSN,1093681
25:39.9,36.21133,-120.30367,9.446,3.72,Md,59,39,1,0.1,NCSN,1093683
35:37.6,36.1795,-120.301,10.083,1.31,Md,16,103,3,0.09,NCSN,1093684
36:06.8,36.28933,-120.4655,10.644,1.24,Md,11,85,9,0.08,NCSN,1093685
51:11.2,36.19333,-120.26717,7.802,1.62,Md,13,103,3,0.2,NCSN,1093686
07:39.1,36.27833,-120.4685,11.764,1.56,Md,11,167,8,0.14,NCSN,1093687
23:44.7,36.26167,-120.34116,11.103,1.89,Md,20,69,4,0.11,NCSN,1093688
30:29.9,36.15434,-120.23534,11.352,1.54,Md,10,149,6,0.04,NCSN,1093689
46:23.3,36.18467,-120.3115,9.886,1.75,Md,12,89,4,0.03,NCSN,1093691
03:40.6,36.2545,-120.445,4.623,1.72,Md,11,91,6,0.16,NCSN,1093692
13:13.7,36.2355,-120.36134,9.408,1.44,Md,13,58,2,0.07,NCSN,1093693
48:13.1,36.14183,-120.36617,-0.088,1.86,Md,8,102,11,0.46,NCSN,1093694
54:05.3,36.29267,-120.38433,9.579,2.06,Md,18,109,5,0.11,NCSN,1093695
07:14.6,36.218,-120.31167,8.838,2.62,Md,31,78,2,0.11,NCSN,1093696
25:23.0,36.18467,-120.28933,10.434,1.42,Md,17,101,4,0.1,NCSN,1093697
26:12.5,36.18033,-120.30733,10.053,2.03,Md,17,95,3,0.05,NCSN,1093698
31:58.7,36.17383,-120.298,9.443,1.94,Md,11,116,2,0.04,NCSN,1093699
55:36.8,36.18717,-120.31567,7.86,1.24,Md,8,112,4,0.08,NCSN,1093700
12:48.3,36.36283,-120.40633,2.663,2.1,Md,12,176,5,0.1,NCSN,1093701
26:01.2,36.2065,-120.28183,10.846,1.61,Md,12,94,1,0.06,NCSN,1093702
31:17.2,36.2085,-120.31384,9.808,1.9,Md,20,81,3,0.11,NCSN,1093703
48:33.0,36.137,-120.21367,4.53,1.59,Md,9,146,17,0.1,NCSN,1093704
58:55.9,36.245,-120.32367,8.49,1.85,Md,12,73,2,0.08,NCSN,1093705
20:09.1,36.31867,-120.31983,5.57,2.09,Md,15,106,3,0.15,NCSN,1093707
25:58.3,36.22683,-120.3465,8.788,2,Md,27,74,3,0.15,NCSN,1093708
34:29.4,36.28517,-120.4785,9.345,2.65,Md,39,80,13,0.14,NCSN,1093709
36:33.3,36.2565,-120.40217,5.633,2.31,Md,30,101,2,0.16,NCSN,1093710
45:23.7,36.119,-120.20517,10.071,2.34,Md,23,90,9,0.12,NCSN,1093711
51:20.8,36.189,-120.8105,1.202,0.86,Md,4,267,12,0.06,NCSN,1093712
23:34.0,36.28017,-120.41583,7.899,1.22,Md,11,91,4,0.11,NCSN,1093713
49:11.5,36.24633,-120.30083,12.916,5.2,ML,59,32,3,0.09,NCSN,1093715
56:39.0,36.2435,-120.289,11.963,0.78,Md,6,89,3,0.04,NCSN,1093716
00:43.8,36.23783,-120.30317,11.728,1.7,Md,26,38,3,0.1,NCSN,1093717
04:04.9,36.26183,-120.35667,7.36,0.89,Md,4,210,6,0,NCSN,1093718
06:25.9,36.2335,-120.28933,11.958,1.13,Md,20,62,2,0.08,NCSN,1093719
06:46.6,36.24883,-120.299,9.575,0.47,Md,18,73,5,0.12,NCSN,1093720
12:45.7,36.23833,-120.294,12.654,3.36,Md,47,35,2,0.11,NCSN,1093721
14:03.9,36.239,-120.29767,12.956,2.92,Md,20,91,3,0.23,NCSN,1093722
15:07.6,36.24067,-120.2995,10.733,1.14,Md,19,85,3,0.09,NCSN,1093723
19:11.2,36.24,-120.29867,13.064,3.74,Md,70,32,3,0.12,NCSN,1093724
20:45.2,36.24233,-120.29483,12.713,1.2,Md,7,94,3,0.04,NCSN,1093725
24:55.5,36.23667,-120.2995,13.163,2.25,Md,12,83,2,0.1,NCSN,1093726
26:37.4,36.23933,-120.304,12.834,3.79,Md,58,37,3,0.08,NCSN,1093727
30:40.9,36.23917,-120.30016,12.824,2.81,Md,46,57,3,0.08,NCSN,1093728
32:02.5,36.24267,-120.2965,11.724,1.87,Md,39,61,3,0.1,NCSN,1093729
36:04.4,36.24333,-120.29517,11.188,0.42,Md,12,98,3,0.09,NCSN,1093730
38:10.8,36.25317,-120.29833,11.028,1.87,Md,25,64,4,0.09,NCSN,1093731
39:53.4,36.24917,-120.3145,10.212,0.75,Md,12,114,3,0.06,NCSN,1093732
40:59.7,36.24367,-120.29583,11.538,1.17,Md,21,123,3,0.07,NCSN,1093733
41:19.6,36.234,-120.26366,12.113,0.44,Md,7,95,3,0.18,NCSN,1093734
42:06.6,36.2475,-120.29784,11.185,0.42,Md,13,87,3,0.1,NCSN,1093735
46:01.1,36.2475,-120.29667,11.674,1.63,Md,25,88,3,0.06,NCSN,1093736
50:47.0,36.23517,-120.28333,11.818,2.03,Md,32,67,2,0.09,NCSN,1093737
53:03.6,36.23283,-120.27133,12.805,1.56,Md,19,75,2,0.13,NCSN,1093738
00:26.3,36.24166,-120.298,11.428,1.38,Md,17,121,3,0.11,NCSN,1093739
06:55.0,36.2515,-120.305,11.918,2.15,Md,37,56,3,0.1,NCSN,1093740
18:24.8,36.13883,-120.212,10.579,1.6,Md,11,102,9,0.07,NCSN,1093742
23:27.9,36.23083,-120.28567,12.548,1.78,Md,16,91,1,0.07,NCSN,1093743
28:13.3,36.24833,-120.279,16.025,1.5,Md,8,115,6,0.04,NCSN,1093744
28:48.0,36.23466,-120.29083,11.964,1.31,Md,11,102,5,0.06,NCSN,1093745
32:02.0,36.1105,-120.28033,6.152,1.49,Md,12,146,5,0.05,NCSN,1093746
41:37.5,36.229,-120.283,12.783,1.79,Md,14,99,1,0.07,NCSN,1093747
45:33.4,36.25783,-120.335,6.259,0.79,Md,6,97,4,0.23,NCSN,1093748
50:57.4,36.25333,-120.33117,9.989,2.76,Md,49,65,1,0.19,NCSN,1093749
59:43.0,36.255,-120.38284,8.992,2.37,Md,33,74,8,0.08,NCSN,1093750
05:33.7,36.2765,-120.2875,4.956,1.62,Md,16,66,3,0.18,NCSN,1093752
13:23.5,36.1925,-120.361,12.613,2.91,Md,43,37,5,0.09,NCSN,1093753
26:27.2,36.16283,-120.283,8.709,1.65,Md,12,131,2,0.07,NCSN,1093754
32:09.3,36.20817,-120.283,8.936,1.35,Md,10,108,1,0.05,NCSN,1093756
33:47.1,36.24217,-120.35633,9.808,1.65,Md,18,59,1,0.06,NCSN,1093757
34:19.9,36.26467,-120.33717,8.314,1.8,Md,17,70,4,0.07,NCSN,1093758
36:29.2,36.1545,-120.2635,9.435,1.67,Md,16,77,3,0.08,NCSN,1093759
36:56.9,36.27817,-120.40234,8.967,2.99,Md,45,70,4,0.14,NCSN,1093760
52:32.2,36.21233,-120.287,13.338,2.57,Md,39,54,1,0.07,NCSN,1093761
55:59.3,36.1815,-120.31783,8.532,1.69,Md,17,108,4,0.11,NCSN,1093762
57:57.4,36.11883,-120.245,9.932,1.37,Md,13,148,6,0.07,NCSN,1093763
06:36.1,36.08617,-120.23016,7.522,1.18,Md,8,173,10,0.04,NCSN,1093764
10:03.4,36.21767,-120.29317,12.478,1.28,Md,7,186,7,0.07,NCSN,1093765
12:58.4,36.19133,-120.29017,10.663,1.99,Md,17,97,3,0.16,NCSN,1093766
14:30.4,36.2325,-120.284,12.433,2.12,Md,32,83,2,0.09,NCSN,1093767
15:46.0,36.23383,-120.37334,7.878,1,Md,9,111,2,0.13,NCSN,1093768
18:29.5,36.20167,-120.2835,12.126,1.94,Md,25,93,2,0.15,NCSN,1093769
26:20.1,36.188,-120.33417,7.116,1.65,Md,16,64,5,0.07,NCSN,1093770
28:27.0,36.258,-120.38216,9.563,1.13,Md,11,121,1,0.04,NCSN,1093771
43:39.0,36.2895,-120.40033,8.102,2.06,Md,29,101,5,0.14,NCSN,1093773
48:59.8,36.258,-120.3365,8.946,1.7,Md,12,65,1,0.04,NCSN,1093774
04:48.0,36.14367,-120.35183,13.947,2.36,Md,30,67,5,0.07,NCSN,1093775
06:02.0,36.14283,-120.35067,14.486,2.81,Md,30,67,5,0.07,NCSN,1093776
08:33.9,36.25566,-120.25816,7.323,1.6,Md,22,45,5,0.12,NCSN,1093777
10:40.8,36.1455,-120.352,12.634,1.56,Md,13,98,5,0.05,NCSN,1093778
11:29.4,36.24333,-120.2925,11.608,2.55,Md,38,87,3,0.1,NCSN,1093779
16:25.3,36.134,-120.34333,11.582,1.31,Md,13,123,4,0.07,NCSN,1093780
18:11.7,36.2405,-120.303,11.38,1.39,Md,16,90,3,0.1,NCSN,1093781
19:50.4,36.21383,-120.34883,8.422,1.14,Md,8,122,5,0.06,NCSN,1093782
26:14.9,36.13167,-120.34133,11.149,1.09,Md,9,111,9,0.07,NCSN,1093783
33:14.2,36.22967,-120.27766,1.761,0.77,Md,4,182,7,0.32,NCSN,1093784
42:45.4,36.25217,-120.305,10.223,1.93,Md,15,145,4,0.09,NCSN,1093785
48:59.9,36.19667,-120.3705,11.997,1.7,Md,13,59,6,0.07,NCSN,1093787
56:00.9,36.25617,-120.26133,6.31,1.99,Md,23,87,5,0.14,NCSN,1093788
56:46.0,36.15467,-120.217,7.081,1.96,Md,14,79,7,0.1,NCSN,1093789
58:02.2,36.25134,-120.25517,8.263,2.96,Md,11,92,7,0.07,NCSN,1093790
58:23.3,36.22883,-120.26083,9.447,2.61,Md,25,58,2,0.14,NCSN,1093791
02:55.9,35.744,-120.29083,8.172,0.74,Md,9,102,4,0.05,NCSN,1093792
19:32.2,36.07833,-120.21283,7.034,2.43,Md,30,107,11,0.11,NCSN,1093794
23:48.0,36.14067,-120.34866,12.168,1.26,Md,11,106,9,0.04,NCSN,1093795
26:50.1,36.249,-120.29833,12.583,1.75,Md,18,98,4,0.09,NCSN,1093796
28:10.3,36.228,-120.28033,11.446,1.97,Md,12,101,1,0.09,NCSN,1093797
34:51.6,36.26567,-120.38017,9.519,2.06,Md,21,68,2,0.1,NCSN,1093798
39:23.7,36.08517,-120.21017,9.654,2.17,Md,24,108,11,0.15,NCSN,1093799
40:17.5,36.2275,-120.29234,11.667,1.72,Md,11,108,7,0.06,NCSN,1093800
40:42.7,36.11567,-120.21516,9.391,1.65,Md,13,91,9,0.18,NCSN,1093801
45:25.8,36.13283,-120.217,8.578,1.11,Md,7,149,10,0.01,NCSN,1093802
48:05.4,36.227,-120.29066,11.09,1.36,Md,10,115,1,0.06,NCSN,1093803
53:40.5,36.1655,-120.25684,9.234,2.14,Md,25,67,4,0.14,NCSN,1093804
03:36.5,36.2505,-120.31,11.753,1.87,Md,16,178,4,0.09,NCSN,1093805
08:38.3,36.26067,-120.37,8.598,2.05,Md,30,66,2,0.09,NCSN,1093806
09:47.4,36.26117,-120.42867,9.742,1.32,Md,9,109,4,0.02,NCSN,1093807
28:53.2,36.205,-120.31934,10.418,2.02,Md,17,77,3,0.05,NCSN,1093808
37:18.7,36.22333,-120.28717,11.942,1.53,Md,15,96,1,0.14,NCSN,1093809
53:07.8,36.22133,-120.28917,11.178,1.92,Md,9,149,1,0.05,NCSN,1093811
53:48.5,36.2875,-120.37767,8.272,2.3,Md,31,91,4,0.1,NCSN,1093812
05:44.7,36.23517,-120.3775,11.717,2.45,Md,19,78,2,0.17,NCSN,1093813
11:59.2,36.22483,-120.2555,16.75,2.03,Md,18,182,3,0.1,NCSN,1093814
16:12.2,36.301,-120.43517,8.879,2.16,Md,28,94,7,0.12,NCSN,1093815
17:36.3,36.2,-120.28533,8.832,1.75,Md,15,99,2,0.08,NCSN,1093816
21:47.2,36.22333,-120.29183,11.266,1.24,Md,9,151,8,0.07,NCSN,1093817
34:06.6,36.17783,-120.25784,11.419,2.85,Md,39,62,5,0.1,NCSN,1093818
57:31.5,36.17617,-120.27683,9.706,1.82,Md,14,72,5,0.06,NCSN,1093819
06:01.3,36.22233,-120.25117,17.059,2.31,Md,16,197,7,0.13,NCSN,1093821
11:06.9,36.15967,-120.2775,9.24,2.6,Md,27,74,7,0.12,NCSN,1093822
18:23.3,36.18616,-120.3065,9.886,3.09,Md,41,38,2,0.08,NCSN,1093823
32:10.8,36.20583,-120.32816,9,2.24,Md,27,96,4,0.09,NCSN,1093825
41:41.5,36.226,-120.24983,7.22,2.17,Md,7,127,3,0.19,NCSN,1093826
44:13.7,36.23667,-120.27783,13.157,1.7,Md,19,70,2,0.07,NCSN,1093827
54:00.3,36.15767,-120.2685,7.395,1.39,Md,8,124,10,0.09,NCSN,1093828
58:11.2,36.13583,-120.25867,4.741,2.43,Md,5,144,9,0.07,NCSN,1093829
21:48.0,36.262,-120.42333,6.699,2.23,Md,31,71,4,0.19,NCSN,1093830
23:53.3,36.2565,-120.3535,10.798,1,Md,7,148,1,0.04,NCSN,1093831
31:01.3,36.2335,-120.31384,11.863,2.07,Md,23,80,3,0.08,NCSN,1093832
34:15.3,36.23217,-120.28584,12.43,2.3,Md,30,99,2,0.08,NCSN,1093833
41:36.5,36.244,-120.2585,6.54,2.12,Md,15,69,4,0.26,NCSN,1093834
08:15.8,36.22533,-120.28667,9.8,2.11,Md,13,153,1,0.12,NCSN,1093835
17:30.5,36.11817,-120.2125,10.748,1.45,Md,10,146,11,0.06,NCSN,1093836
24:33.7,36.19967,-120.27583,10.166,3.38,Md,57,55,2,0.07,NCSN,1093837
38:01.4,36.19167,-120.27734,7.961,1.99,Md,28,59,3,0.12,NCSN,1093838
41:13.7,36.2435,-120.36483,7.655,1.49,Md,12,85,2,0.14,NCSN,1093839
49:25.8,36.21917,-120.3155,7.49,1.8,Md,24,79,3,0.16,NCSN,1093840
49:55.8,36.23267,-120.27783,13.371,1.93,Md,17,72,2,0.06,NCSN,1093841
46:44.3,36.227,-120.25983,7.969,1.44,Md,11,102,2,0.06,NCSN,1093842
06:54.6,36.233,-120.2785,4.78,1.72,Md,8,139,2,0.09,NCSN,1093844
08:46.4,36.23633,-120.308,11.503,2.35,Md,23,80,3,0.11,NCSN,1093845
09:51.5,36.13633,-120.22083,3.309,1.13,Md,6,222,11,0.02,NCSN,1093846
13:05.7,36.17817,-120.25433,9.553,2.7,Md,27,144,5,0.12,NCSN,1093847
37:37.0,36.1815,-120.29017,9.563,2.51,Md,27,133,4,0.11,NCSN,1093849
05:06.7,36.21067,-120.30367,8.925,2.02,Md,13,99,2,0.09,NCSN,1093852
20:44.6,36.21483,-120.30983,8.159,1.22,Md,9,116,2,0.03,NCSN,1093853
29:13.6,36.21617,-120.33217,2.058,2.06,Md,18,78,4,0.39,NCSN,1093854
35:01.7,36.28567,-120.3745,8.256,2.08,Md,22,64,4,0.09,NCSN,1093855
38:18.7,36.21367,-120.33033,8.449,2.21,Md,27,80,4,0.12,NCSN,1093856
46:44.7,36.28367,-120.32633,14.206,2.32,Md,30,66,2,0.11,NCSN,1093857
53:45.5,36.27234,-120.3055,4.584,1.85,Md,14,122,2,0.14,NCSN,1093858
01:00.5,36.227,-120.2605,8.42,2.41,Md,33,77,2,0.12,NCSN,1093859
11:38.4,36.09083,-120.23,5.768,1.67,Md,9,163,14,0.08,NCSN,1093860
32:09.7,36.18017,-120.23817,12.565,2.12,Md,22,118,6,0.07,NCSN,1093861
39:18.0,36.13517,-120.25083,2.842,1.62,Md,8,141,11,0.08,NCSN,1093862
48:46.2,36.145,-120.242,11.576,1.95,Md,7,83,9,0.02,NCSN,1093866
15:44.6,36.189,-120.302,10.966,3.11,Md,37,40,3,0.16,NCSN,1093867
27:03.7,36.1725,-120.29333,8.603,2.57,Md,26,107,5,0.15,NCSN,1093868
32:12.0,36.29833,-120.273,7.836,1.73,Md,8,113,9,0.09,NCSN,1093869
42:27.0,36.16783,-120.22933,8.114,1.62,Md,8,146,7,0.03,NCSN,1093870
10:13.8,36.2285,-120.2975,7.898,2.73,Md,32,50,2,0.12,NCSN,1093871
18:12.6,36.19367,-120.27683,11.165,1.77,Md,9,115,3,0.04,NCSN,1093873
37:59.0,36.23983,-120.35533,9.736,1.95,Md,15,60,3,0.07,NCSN,1093874
38:29.2,36.214,-120.29733,6.552,2.48,Md,22,53,1,0.09,NCSN,1093875
51:25.3,36.17117,-120.2815,6.856,1.72,Md,16,115,5,0.34,NCSN,1093876
52:37.4,36.1615,-120.28167,8.756,2.17,Md,16,93,6,0.09,NCSN,1093877
56:21.6,36.15717,-120.27834,8.189,2.1,Md,16,75,7,0.11,NCSN,1093878
14:35.8,36.22533,-120.28967,8.736,3.12,Md,30,77,1,0.17,NCSN,1093879
57:38.1,36.21233,-120.28416,7.245,1.91,Md,9,79,1,0.07,NCSN,1093880
00:04.4,36.192,-120.30867,9.107,1.64,Md,9,98,4,0.06,NCSN,1093881
08:33.5,36.19533,-120.34067,11.819,2.27,Md,24,60,6,0.07,NCSN,1093882
19:50.3,36.17417,-120.2805,8.059,1.72,Md,7,144,5,0.02,NCSN,1093884
26:49.4,36.27817,-120.30967,5.12,2.38,Md,12,101,7,0.16,NCSN,1093885
14:58.7,36.13,-120.27116,5.771,2.04,Md,10,140,13,0.05,NCSN,1093888
30:48.6,36.22683,-120.37517,-0.38,1.65,Md,6,259,34,0.07,NCSN,1093889
35:29.2,36.22367,-120.34817,8.22,1.7,Md,10,96,4,0.1,NCSN,1093890
00:56.4,36.14167,-120.21867,7.634,1.86,Md,9,127,9,0.05,NCSN,1093892
05:08.2,36.17567,-120.27583,9.371,2.25,Md,19,143,5,0.07,NCSN,1093893
28:04.4,36.193,-120.25833,9.223,2.48,Md,28,58,4,0.08,NCSN,1093894
15:53.1,36.1575,-120.26683,9.646,1.91,Md,16,85,3,0.11,NCSN,1093898
38:38.3,36.10017,-120.2525,7.129,1.66,Md,10,100,7,0.04,NCSN,1093899
43:03.0,36.2465,-120.36884,9.499,0.39,Md,7,138,1,0.01,NCSN,1093900
00:53.2,36.24333,-120.40733,7.389,1.28,Md,7,216,2,0.14,NCSN,1093903
27:28.4,36.2535,-120.26434,7.733,1.64,Md,9,90,4,0.07,NCSN,1093904
07:56.4,36.321,-120.266,7.191,2.14,Md,11,235,5,0.11,NCSN,1093905
10:54.5,36.20333,-120.289,8.858,2.29,Md,21,91,6,0.05,NCSN,1093906
13:54.7,36.2945,-120.47433,9.268,2.48,Md,25,62,15,0.13,NCSN,1093907
14:44.3,36.27733,-120.36383,8.699,2.18,Md,18,104,5,0.07,NCSN,1093908
25:40.5,36.13467,-120.24633,8.557,1.88,Md,14,151,5,0.07,NCSN,1093909
53:53.1,36.14633,-120.211,9.828,2.69,Md,24,139,8,0.08,NCSN,1093910
10:55.1,36.118,-120.675,6.372,0.77,Md,7,172,5,0.02,NCSN,1093913
45:12.4,36.16067,-120.28217,7.148,2.43,Md,21,113,2,0.16,NCSN,1093914
00:42.6,36.24183,-120.34367,8.036,0.98,Md,5,178,6,0.02,NCSN,1093916
05:41.8,36.28533,-120.36317,9.711,0.74,Md,5,128,4,0.12,NCSN,1093917
09:26.9,36.33133,-120.299,7.218,1.82,Md,15,98,4,0.1,NCSN,1093918
13:01.6,36.10266,-120.20417,8.539,1.88,Md,10,162,10,0.05,NCSN,1093919
21:49.9,36.14533,-120.24817,8.479,1.39,Md,9,134,5,0.04,NCSN,1093920
45:10.0,36.304,-120.287,5.251,2.16,Md,28,104,7,0.09,NCSN,1093922
51:51.9,36.17633,-120.3445,13.783,0.52,Md,6,213,5,0.15,NCSN,1093923
58:39.0,36.24767,-120.29984,11.185,0.6,Md,5,165,5,0.02,NCSN,1093925
34:11.2,36.29133,-120.32633,7.569,1.01,Md,6,110,2,0.11,NCSN,1093927
38:52.1,36.14683,-120.214,12.216,1.92,Md,9,166,8,0.06,NCSN,1093928
40:23.6,36.29517,-120.42083,8.01,1.23,Md,10,98,6,0.03,NCSN,1093929
55:21.5,36.2025,-120.2805,9.713,0.77,Md,7,131,2,0.02,NCSN,1093930
09:40.6,36.262,-120.3405,8.696,1.81,Md,24,75,1,0.07,NCSN,1093931
18:15.4,36.27317,-120.39533,9.466,2.74,Md,48,41,3,0.1,NCSN,1093932
23:39.5,36.30817,-120.36884,10.61,2.39,Md,36,53,3,0.12,NCSN,1093933
36:05.2,36.26,-120.42817,9.896,1.44,Md,15,120,4,0.05,NCSN,1093934
38:42.2,36.31217,-120.3675,10.72,1.37,Md,12,93,3,0.05,NCSN,1093935
44:32.0,36.24633,-120.28867,11.439,1.9,Md,16,120,3,0.09,NCSN,1093936
45:21.9,36.27183,-120.32516,6.914,1.14,Md,6,80,3,0.16,NCSN,1093937
55:25.0,36.23883,-120.24367,5.241,1.57,Md,12,89,4,0.05,NCSN,1093938
03:42.3,36.21183,-120.30566,10.572,1.15,Md,6,184,2,0.02,NCSN,1093939
